,Œrednia wa¿ona,RTT,RDN+RDB,Inne (OTC)
01.01.2021,239.1756631,233.5834749,260.4849294,237.27
01.02.2021,243.0625004,235.0214807,272.027969,237.27
01.03.2021,243.8341862,234.5312994,277.5903776,237.27
01.04.2021,248.5571958,239.5626851,276.0088178,252.15
01.05.2021,253.3355141,240.583825,298.419259,252.15
01.06.2021,267.3224448,245.54169,352.641614,252.15
01.07.2021,280.8601653,252.6029894,380.0344683,275.76
01.08.2021,283.7318902,256.6840502,379.2065543,275.76
01.09.2021,303.775832,258.4050001,464.7484917,275.76
01.10.2021,312.6967825,267.1793568,472.7664992,322.58
01.11.2021,328.963297,275.0585897,541.8686132,322.58
01.12.2021,386.3730466,283.4473754,836.6833316,322.58
01.01.2022,494.0122336,460.9251668,628.2346886,466.6
01.02.2022,470.9597432,462.9971058,501.4511809,466.6
01.03.2022,491.0150367,446.8865444,657.7130068,466.6
01.04.2022,486.6069677,464.7990577,555.5135562,489.22
01.05.2022,489.463466,450.5756079,623.0180081,489.22
01.06.2022,534.1147773,459.3000144,830.1509488,489.22
01.07.2022,594.6555235,474.0626116,1063.380848,615.28
01.08.2022,654.1868976,498.2696018,1287.404206,615.28
01.09.2022,585.95919,506.1951774,890.076894,615.28
01.10.2022,585.7893316,582.7675289,651.7533296,532.43
01.11.2022,611.8585372,559.2307785,871.2987019,532.43
01.12.2022,625.0981194,584.196649,822.9430577,532.43
01.01.2023,903.6636982,1166.975993,659.457,864.02
01.02.2023,883.8274318,1122.388965,665.8218993,864.02
01.03.2023,889.9035087,1138.087235,587.0096829,864.02
01.04.2023,783.6210582,931.8616258,583.2901859,784.02
01.05.2023,777.6184251,989.534112,492.9793076,784.02
01.06.2023,762.5310081,969.2312546,553.7448462,784.02
01.07.2023,759.0671531,954.0310088,544.8728795,748.58
01.08.2023,742.9618103,958.7326018,508.4549097,748.58
01.09.2023,750.5236417,946.9490882,538.2941227,748.58
01.10.2023,713.0814502,938.8224906,443.2803527,736.61
01.11.2023,718.0189435,927.9473895,456.7538328,736.61
01.12.2023,680.6994622,908.5741579,366.2668553,736.61
01.01.2024,552.8921413,610.3378961,425.6161453,596.59
01.02.2024,528.2204171,600.7903801,342.8335324,596.59
01.03.2024,524.1774252,593.6412637,328.623894,596.59
01.04.2024,509.5122175,535.0315699,359.6395702,570.52
01.05.2024,510.007506,544.884215,370.0122234,570.52
01.06.2024,542.8023021,544.0664302,489.023078,570.52
01.07.2024,538.8977045,557.1294232,514.6508157,
01.08.2024,506.037842,553.1765093,433.2525414,
01.09.2024,494.6902178,555.0101449,411.09509,
01.10.2024,,556.6955384,,
01.11.2024,,563.6055567,,
01.12.2024,,562.6914897,,
